lbl,dflt,au,ca,sg,uk
"print surplus info","This will print a list of Surplus Refunds for the selected parameters.","","","",""
"cust id","Cust. ID","","","",""
"payments by rep report","Payments by Rep. Report","","","",""
"ar rep","A/R Rep","","","",""
"date rcvd","Date Rcvd","","","",""
"amt applied to invoice","Amt Applied to Invoice","","","",""
"deposit batch id","Deposit Batch Id","","","",""
"payment id","Payment ID","","","",""
"surplus id","Surplus ID","","","",""
"statements","Statements","","","",""
"print statements","Print Statements","","","",""
"cust flagged for statements","Cust. flagged for statements","","","",""
"cust not flagged for statements","Cust. NOT flagged for statements","","","",""
"per customer","Per Customer","","","",""
"per job","Per Job","","","",""
"per customer/job","Per Customer/Job","","","",""
"non retention only","Non Retention Only","","","",""
"retention only","Retention Only","","","",""
"one per cust","One Per Cust","","","",""
"one per cust per branch","One Per Cust per Branch","","","",""
"report linked jobs together","Report Linked Jobs Together","","","",""
"include surplus balance on output","Include Surplus Balance on Output","","","",""
"inv total","Inv Total","","","",""
"printed statement notes","Printed Statement Notes","","","",""
"unions","Unions","","","",""
"oldest inv threshold","Oldest Inv. Threshold","","","",""
"manage unions","Manage Unions","","","",""
"surplus balance","Surplus Balance","","","",""
"defined unions","Defined Unions","","","",""
"recieves statements contacts","Receives Statements' Contacts","","","",""
"recives statement contacts and cc all job billing contacts","Receives Statements' Contacts and CC All Job Billing Contacts","","","",""
"union","Union","","","",""
"no active terms found message","You have no active terms. Please create or re-activate at least 1 customer term.","","","",""
"cenpoint product","CenPoint Product","","","",""
"auth success redirecting","Successfully authenticated. Redirecting back to what you were doing...","","","",""
"modify email pdf template","Modify Email - PDF Template","","","",""
"modify email link template","Modify Email - Link Template","","","",""
"email template","Email Template","","","",""
"statement email template instructions","Please set your default subject and body for bulk sending statements. Your email signatures will be added automatically.","","","",""
"chars",".Chars","","","",""
"emailing statements...","Emailing Statements...","","","",""
"text cannot be more than chars long","<NAME> cannot be more than <MAX> characters long","","","",""
"job tasks","Job Tasks","","","",""
"auth with type","Authenticate with\n<TYPE>","","","",""
"invoiced date","Invoiced Date","","","",""
"print list","Print List","","","",""
"export to excel","Export to Excel","","","",""
"standard","Standard","","","",""
"enhanced","Enhanced","","","",""
"","","","","",""
"no other job tasks","No other job tasks","","","",""
"other job tasks","Other Job Tasks","","","",""
"ft task error no tasksid","Task data is missing required info (missing tasksid). Task NOT saved.\n\nPlease try again. If the issue persists, please contact support at: <SUPPORTNO>","","","",""
"service worker not found cant check for updt","Service worker not found. Cannot check for an update. Please contact support if this issue persists.","","","",""
"quote equip","Quote Equip.","","","",""
"import gl codes from","Import GL Codes From <SOFTWARE>","","","",""
"qbonline get gl codes instruct","This will pull a list of gl codes from Quickbooks Online and allow you to specify which gl codes to import into <APPNAME>.\nNOTE: GL Codes are NOT branch specific and will be globally imported.\n\nSelect the lower(<LBLBRANCH>) to use to authenticate with Quickbooks Online and then click on 'Next' to continue.","","","",""
"delete all app gl and replace them","Delete ALL <APPNAME> GL Cdoes and replace them with Gl Codes from <ACCTSYS>\nNOTE: GL Codes can only be deleted if they have never been used.","","","",""
"keep existing app gl and add from","Keep existing <APPNAME> gl codes, just add gl codes from <ACCTSYS>","","","",""
"select gl to import","Select GL Codes To Import","","","",""
"invoice info","Invoice Info","","","",""
"invoice flag as sent to cust prompt","Would you like to flag these invoices as sent to customer?","","","",""
"acct push id","Acct Push ID","","","",""
"debug info","Debug Info","","","",""
"print balance on invoice","Print Balance on Invoice","","","",""
"flag as sent","Flag as sent","","","",""
"print expected retention on invoice","Print Expected Retention on Invoice","","","",""
"are you sure delete all app gl codes","Are you sure you want to Delete ALL <APPNAME> gl codes and repalce them with the selected gl codes?","","","",""
"balance is retention","Balance is Retention","","","",""
"do not flag as sent","No, Do NOT flag as sent","","","",""
"ret date","Ret. Date","","","",""
"purging existing gl codes","Purging Existing GL Codes\nPlease Wait...","","","",""
"job ret","Job Ret.","","","",""
"couldnt delete gls in use","The following GL Codes were NOT deleted as they have been used on a task, piece of equipment, invoice add'l charge, etc.\n<GLS>","","","",""
"loading data please wait...","Loading data. Please wait...","","","",""
"importing please wait","Importing, Please Wait","","","",""
"imported x type","Successfully imported <CNT> <TYPE>","","","",""
"support info","Support Info","","","",""
"sent to collections","Sent To Collections","","","",""
"do branches share bank accounts","Do your branches share the same bank account or use seperate bank accounts?","","","",""
"job category","Job Category","","","",""
"share bank accounts","Share \nBank Accounts","","","",""
"add tax","Add Tax","","","",""
"seperate bank accounts","Seperate \nBank Accounts","","","",""
"remove tax","Remove Tax","","","",""
"suggested volumes round","Suggested Volumes (round as desired)","","","",""
"overrides job","Overrides Job","","","",""
"print ret inv","Print Ret. Inv.","","","",""
"on","On","","","",""
"(nsi only)","(NSI Only)","","","",""
"edit line item notes","Edit Line Item Notes","","","",""
"nsi po no","NSI P.O. No","","","",""
"nsi req no","NSI Req. No","","","",""
"link text sent at","Link Text Sent At","","","",""
"link first open","Link First Open","","","",""
"link last open","Link Last Open","","","",""
"link open count","Link Open Count","","","",""
"nsi will be inherited from job","NSI PO/Req. No. will be inherited from the job if linked to a job","","","",""
"see job","See Job","","","",""
"cannot select this report type job is not quoted","Cannot select this report type.\n\nReason: Job was not quoted!","","","",""
"cannot select this report type amounts do not match","Cannot select this report type\n\nReason: Total quote amount does not match invoice total!","","","",""
"deleted invoices report","Deleted Invoices Report","","","",""
"deleted by","Deleted By","","","",""
"del date","Del. Date","","","",""
"del time","Del. Time","","","",""
"invs created before date range","Invs Created Before Dt. Range","","","",""
"del by","Del. By","","","",""
"file not found generic","File not found!","","","",""
"nsi po only valid for nsi invoices","NSI Po/Req. No. are only valid for NSI Invoices not linked to a job","","","",""
"invoice does not contain tax","Invoice does not contain any tax.","","","",""
"invoice already contains tax","Invoice already contains tax.","","","",""
"collection tip","When an invoice is sent to collections, you must specify which company will be responsible for the collections. Please selection a collection company from the following screen.\n\nNOTE: The collection company finder will automatically be opened for improved effeicency and convenience.","","","",""
"add fee tip","This will add a fee to this invoice, such as a processing fee or a convenience fee. This will become a line item on the invoice. This can only be undone by posting an adjustment.","","","",""
"confirm del tax","Are you sure you want to delete the tax on invoice: <INVOICEID>?\n\nOnly proceed if you want to permanently delete all tax on this invoice.\n\nNOTE: This cannot be undone!","","","",""
"invoice already pushed into accounting software","Invoice: <INVOICEID> was pushed into your accounting software. \n\nThis will require manual changes in your accounting system. Only proceed if you are sure you know how to manually correct your accounting system.","","","",""
"validate data push","Validate Data Push","","","",""
"must specify a specific accounting system to validate","You must specify a specific accounting system to validate.","","","",""
"validate only","Validate Only","","","",""
"validate and correct in cenpoint","Validate and Correct in CenPoint","","","",""
"correct push confirmation","Correcting a push cannot be undone! \n\nOnly preceed if you wish to permanently correct all incorrect DataPush records for this date range.","","","",""
"corrected amounts in acct system confirmation","Have you already corrected the amounts in your accounting system?\n\nThis must be done before you proceed!","","","",""
"del add tax data push message","IMPORTANT!\n\nYou must manually make the following adjustments in your accounting system for data push: <PUSHID>\n\nTaxable amount decreased by: <INVTOTAMT>\nNon-taxable amount increased by <INVAMTB4TAX>\n\nChanges in the CenPoint push log <PUSHID> have been automatically adjusted to reflect the new amount.","","","",""
"confirm add tax","Are you sure you want to add tax to invoice: <INVOICEID>?\n\nOnly proceed if you want to add tax to all task line items on this invoice.\n\nNOTE: This cannot be undone!","","","",""
"proceed","Proceed","","","",""
"please enter tax percentage","Please Enter Tax Percentage","","","",""
"must enter tax percentage to continue","You must enter tax percentage to continue.","","","",""
"tax percentage","Tax Percentage","","","",""
"must print this report","You must print this report, you will not be able to later!","","","",""
"confirm balance as retention","This will mark the balance as retention.","","","",""
"mark as retention","Mark as Retention","","","",""
"confirm balance as non-retention","This will unmark the balance as retention. The balance will no longer be considered retention.","","","",""
"unmark as retention","Unmark as Retention","","","",""
"invoice is not flagged as retention","Invoice is not flagged as retention or there is not a retention % on the job.","","","",""
"invoice does not have a balance","Invoice does not have a balance.","","","",""
"this invoice is not sent to collections","This invoice is not sent to collections.","","","",""
"select collection company","Select Collection Company","","","",""
"view collection company","View Collection Company","","","",""
"retention invoice","Retention Invoice","","","",""
"prompt for blacklist when sent to collections","Sending someone to collections is a pretty serious action and most likely means you won't work with them again.\n\nTo help protect you and others, would you like to also globally & locally blacklist this customer?","","","",""
"aging history by customer","Aging Hisory By Customer","","","",""
"only show cust with a balance","Only Show Cust With a Balance","","","",""
"all in collections","All In Collections","","","",""
"all not in collections","All Not In Collections","","","",""
"days only","Days Only","","","",""
"branch tot","Branch Tot","","","",""
"cust tot","Cust. Tot","","","",""
"cust %","Cust. %","","","",""
"last note","Last Note","","","",""
"add note","Add Note","","","",""
"view notes","View Notes","","","",""
"print statement","Print Statement","","","",""
"customer statistics","Customer Statistics","","","",""
"must select customer","You must select a customer","","","",""
"customer is flagged to not print statement","Customer if flagged to not print statement","","","",""
"my documents","My Documents","","","",""
"can not edit because document is uploaded by someone else","You can not edit this document because it was uploaded by someone else","","","",""
"retained earnings","Retained Earnings","","","",""
"long term","Long Term","","","",""
"using cp books type must have gl","Beacuse you are using <ACCOUNTINGMOD>, <TYPE> must be associated with a GL code.","","","",""
"active jobs only","Active Jobs Only","","","",""
"also create user log","Also Create User Log","","","",""
"user log","User Log","","","",""
"log","Log","","","",""
"general log entry","General Log Entry (All Users)","","","",""
"only for user","Only For User","","","",""
"log info","Log Info","","","",""
"you must enter a note","You must enter a note.","","","",""
"first invoice","First Invoice","","","",""
"last invoice","Last Invoice","","","",""
"invoice count","Invoice Count","","","",""
"largest inv","Largest Inv","","","",""
"total invoices","Total Invoices","","","",""
"avg days to pay","Avg. Days To Pay","","","",""
"max days to pay","Max Days To Pay","","","",""
"historical data not included in calculations","Historical data not included in calculations","","","",""
"customer since","Customer Since","","","",""
"life to date","Life To Date","","","",""
"year to date","Year To Date","","","",""
"last 90 days","Last 90 Days","","","",""
"customer statistics","Customer Statistics","","","",""
"simulating user in tab","Simulating User: <NAME> in another tab. Please close that tab before continuing.","","","",""
"simulating","Simulating","","","",""
"print aging report","Print Aging Report","","","",""
"must select a job","You must select a job","","","",""
"grid view","Grid View","","","",""
"manage card","Manage Card","","","",""
"accountant view","Accountant View","","","",""
"how to enter new card","How to enter a \nNew Card","","","",""
"groups","Groups","","","",""
"license expired card updated will charge soon","Thank you for updating your card on file.\nWe will charge your card and update your license as soon as possible. You will receive an email once your license is updated.","","","",""
"min days out","Min. Days Out","","","",""
"journal entries","Journal Entries","","","",""
"journal entry","Journal Entry","","","",""
"print last note on dtl rpt","Print Last Note on Detail Rpt","","","",""
"print job name on dtl rpt","Print Job Name on Detail Rpt","","","",""
"customer id","Customer Id","","","",""
"exporting...","Exporting...","","","",""
"journal id","Journal Id","","","",""
"desktop only available on windows","Opening the desktop app is only available on Windows.","","","",""
"desktop app not installed","Looks like you haven't installed <APPNAME> yet. Please install and then try again.","","","",""
"log returned (nsf) payment","Log Returned (NSF) Payment","","","",""
"enter returned payment (nsf)","Enter Returned Payment (NSF)","","","",""
"show payments since","Show Payments Since","","","",""
"date returned","Date Returned","","","",""
"non-returned checks and cc","Non-Returned Checks and CC","","","",""
"add nsf charge","Add NSF Charge","","","",""
"create nsf charge as an nsi","Create NSF Charge as an NSI","","","",""
"print invoice with nsf charge","Print Invoice with NSF Charge","","","",""
"must select a payment to return","You must select a payment to return","","","",""
"return date is in the future","The return date is in the future. Is this really correct?","","","",""
"invoices not in ft date","Invoices Not In FT Date","","","",""
"debit","Debit","","","",""
"ftick inv dt instructions","This will display all Field Tickets for the selected date range that were NOT invoiced during the selected date range. Items are included based on Field Ticket date. Field Tickets not invoiced will NOT be included.","","","",""
"credit","Credit","","","",""
"ftick id","FTick Id","","","",""
"debits credits must equal","Debits & Credits columns must add up to the same amount","","","",""
"ftick dt","FTick Dt","","","",""
"journal details dont match journal total update","Total journal entry amount does not match the debits/credits.\n\nJournal Entry: <JOURNALAMT>\nDebits/Credits: <DEBITAMT>\n\nWould you like to update the Journal amount to match the debits/credits?","","","",""
"inv created dt","Inv Created Dt","","","",""
"details","Details","","","",""
"debits","Debits","","","",""
"credits","Credits","","","",""
"total debits","Total Debits","","","",""
"total credits","Total Credits","","","",""
"gl code must have a debit or credit","You have selected a GL Code but no Debits or Credits have been entered for it. Please add a debit/credit or delete the line.","","","",""
"journal must have entries","Journal entry must have at least 2 GL Code accounts","","","",""
"jouranl entry must have gl codes","All journal entry lines must have a GL code.","","","",""
"journal amount out of balance with original transaction","You have changed the total journal entry amount and it no longer matches the original transaction.\n\n<span class="font-bold text-red">The original transaction: <ORIG> will NOT be updated.</span>\n\nAre you sure you want to do proceed?","","","",""
"general journal","General Journal","","","",""
"adjustment intro","Adjustment amounts, like any other payment, should normally be a positive number.\n\nA positive adjustment amount will decrease the invoice balance.","","","",""
"view failed journals","View Failed\nJournal Entries","","","",""
"cash","Cash","","","",""
"itemize adjustment","Itemize Adjustment","","","",""
"cc already charged","CC - Already Charged","","","",""
"enter the adjustment amount for each task","Enter the Adjustment Amount For Each Task","","","",""
"cc or eft charge now","CC or EFT - Charge Now","","","",""
"tax adj","Tax Adj.","","","",""
"adjustment","Adjustment","","","",""
"total adj","Total Adj.","","","",""
"from surplus account","From Surplus Account","","","",""
"adj entire bal","Adj. Entire Bal","","","",""
"surplus not enough balance","There is not enough available balance in the surplus account to make this payment type.","","","",""
"adj all tax","Adj. All Tax","","","",""
"can not apply pmt from surplus to surplus","Pay type cannot be from the Surplus Acct if you are applying an amount to the Surplus Acct.","","","",""
"orig tax","Orig. Tax","","","",""
"orig charge","Orig. Charge","","","",""
"adj amt","Adj. Amt","","","",""
"invoice adjustment not itemized","Your <LBLBRANCH> is set to itemize adjustments but adjustment is not itemized","","","",""
"payment receipt","Payment Receipt","","","",""
"surplus account history","Surplus Account History","","","",""
"surplus withdrawl","Surplus Withdrawl","","","",""
"cust sur bal","Cust. Sur. Bal (All Branches)","","","",""
"bank register","Bank Register","","","",""
"journal register","Journal Register","","","",""
"branch sur bal","Branch Sur. Bal","","","",""
"customer info","Customer Info","","","",""
"withdrawal","Withdrawal","","","",""
"withdrawals","Withdrawals","","","",""
"deposit","Deposit","","","",""
"refund id","Refund ID","","","",""
"reprint refund","Reprint Refund","","","",""
"only withdrawals and refund can be deleted","Only withdrawals and refunds can be deleted. Deposits must be deleted by deleting the originating payment.","","","",""
"refund has been pushed","Refund has been pushed to the accounting system and cannot be deleted.","","","",""
"record is not refund","Highlighted record is not a refund.","","","",""
"tot surplus bal","Tot. Surplus Bal","","","",""
"create manual credit","Create Manual Credit","","","",""
"create refund","Create Refund","","","",""
"create manual surplus credit","Create Manual Surplus Credit","","","",""
"create man credit info","This allows you to create a credit in the surplus account for the customer. A positive credit amount will increase the surplus balance.","","","",""
"orig surplus bal","Orig. Surplus Bal","","","",""
"credit amount","Credit Amount","","","",""
"new surplus bal","New Surplus Bal","","","",""
"you must specify a date","You must specify a date","","","",""
"you must specify amount","You must specify amount","","","",""
"amount must be greater than 0","Amount must be greater than 0","","","",""
"date can not be in the future","The date can not be in the future","","","",""
"you have not entered notes enter now","You have not entered any notes. Do you want to enter notes now?","","","",""
"you must specify reason","You must specify reason","","","",""
"surplus refund","Surplus Refund","","","",""
"surplus refund info","This allows you to refund money back to the customer. A positive refund amount will decrease the surplus balance.","","","",""
"refund amount","Refund Amount","","","",""
"print refund","Print Refund","","","",""
"use default","Use Default","","","",""
"specify","Specify","","","",""
"not using cp books, bank accounts not supported","Beacuse you are not using <ACCOUNTINGMOD>, bank accounts are not supported","","","",""
"refund cannot take surplus negative","The refund cannot take the surplus account balance negative.","","","",""
"no check ref no, enter now","You have not entered a check reference number. This should be the check number of the refund check. Would you like to enter it now?","","","",""
"enter now","Enter Now","","","",""
"specify bank account or select default","Please specify the Bank Account for this refund or select 'Default'.","","","",""
"no banks defined please setup","You have not defined any bank accounts yet. Please create a bank account under List Management -> Chart Of Accounts.","","","",""
"payee","Payee","","","",""
"vend","Vend","","","",""
"deposit","Deposit","","","",""
"withdrawal","Withdrawal","","","",""
"job 4","SS Quick Add","","","",""
"ending balance","Ending Balance","","","",""
"prompt","Prompt","","","",""
"must select a blank","You must select a <DESC>.","","","",""
"job entry mode","Job Entry Mode","","","",""
"must select an blank","You must select an <DESC>.","","","",""
"job view mode","Job View Mode","","","",""
"must enter a blank","You must enter a <DESC>","","","",""
"select job entry mode","Select Job Entry Mode","","","",""
"must enter an blank","You must enter an <DESC>","","","",""
"set as default (do not ask again)","Set As Default (Don't Ask Again)","","","",""
"feature coming soon","Coming Soon. Please check back later.","","","",""
"continue in","Continue in","","","",""
"itemized","Itemized","","","",""
"itemize","Itemize","","","",""
"bank reg rec must have bank account","A bank register record must reference the bank account. Action aborted.","","","",""
"not enough info to create wo","Not enough information entered to create a Work Order. A Work Order for this job has not been created.","","","",""
"office security","Office Security","","","",""
"sec 51074","Add/Edit Jobs","","","",""
"sec 63457","View Job Only (Read Only)","","","",""
"sec 59328","Delete Jobs","","","",""
"sec 38695","View Customer (Read Only)","","","",""
"sec 34566","Manage/Adjust All Clock In/Out Data","","","",""
"sec 46949","Add/Edit Quotes","","","",""
"sec 42820","View Quotes (Read Only)","","","",""
"sec 22187","Delete Quotes","","","",""
"sec 18058","Manage/Adjust FT Timecard Data","","","",""
"sec 7672","Manage/Adjust FT Payroll Data *","","","",""
"sec 3545","View/Edit Cust. Credit Card Info","","","",""
"sec 15802","Delete Service Orders","","","",""
"sec 11675","Change Credit Limit / Freeze Customers (Acct Hold)","","","",""
"sec 23932","Mark Jobs as Reviewed","","","",""
"sec 19805","Delete Payments","","","",""
"sec 32062","System Administrator (SA)","","","",""
"sec 27935","Delete Field Tickets","","","",""
"sec 40176","Manage Tasks","","","",""
"sec 36049","Add Customers","","","",""
"sec 18603","Edit Customers","","","",""
"sec 22666","Delete Customers","","","",""
"sec 26857","Flag FT Ready For Invoicing","","","",""
"sec 30920","Create Invoices","","","",""
"sec 2095","Enter Payments/Adjustments","","","",""
"sec 6158","Create Surplus Acct Refunds","","","",""
"sec 10349","Create Manual Surplus Credits","","","",""
"sec 14412","Edit/Delete Job Notes","","","",""
"sec 51619","Data Push Options","","","",""
"sec 55682","List Management","","","",""
"sec 31642","Mng Company/Branch Information","","","",""
"sec 27579","Edit/Delete User Log Notes","","","",""
"sec 23512","Retire Inventory SN's Outside of FTs","","","",""
"sec 19449","Server Utilities Menu","","","",""
"sec 15134","Access to Sensitive Data (Wages, etc)","","","",""
"sec 11071","Can Edit W.O.s after it's Invoiced","","","",""
"sec 7004","Can Consume Internal Parts","","","",""
"sec 2941","Print Invoice List","","","",""
"sec 64146","Allow Printing of Cust. and Contact List","","","",""
"sec 60083","This is a Special Scheduler Only User","","","",""
"sec 57869","Allow Printing FT Internal Notes","","","",""
"sec 61996","Delete Invoices","","","",""
"sec 49743","View FT Only (Read Only)","","","",""
"sec 53870","Adj. Qty On Hand (Non-Serialized only)","","","",""
"sec 41609","Change Customer Rating","","","",""
"sec 45736","Set/Change Sales Rep","","","",""
"sec 33483","Delete Veh & Equip Inspections","","","",""
"sec 37610","Data Utilities Menu","","","",""
"sec 25349","Delete WOs, Inspect., A to Ps, Safety Plans *","","","",""
"sec 29476","Scheduler is Read Only","","","",""
"sec 53564","Reconciliation Report *","","","",""
"sec 49437","Set/Change ROP","","","",""
"sec 61822","Manage Limited Users (no security) *","","","",""
"sec 57695","Delete Deposits","","","",""
"sec 37304","Deny A/R Access","","","",""
"sec 33177","Deny Quote Access","","","",""
"sec 45562","Deny Report Menu Access","","","",""
"sec 41435","Add/Edit Vehicles & Equipment","","","",""
"sec 20532","Deny Job Access","","","",""
"sec 16405","Deny Advanced Finder Access","","","",""
"sec 33903","Deny Field Ticket Access","","","",""
"sec 37966","Edit Inventory POs","","","",""
"sec 42029","Add/Edit Vendors","","","",""
"sec 46092","(NO LONGER USED)","","","",""
"sec 50411","Delete Documents","","","",""
"sec 54474","Deny Viewing Other's Emails","","","",""
"sec 58537","Set/Change Terms","","","",""
"sec 62600","Can Only See  Quotes, Jobs, Invs Sales Rep On","","","",""
"sec 1383","Can See Job Total On Find Job","","","",""
"sec 5446","","","","",""
"sec 46942","","","","",""
"sec 42879","","","","",""
"sec 38684","","","","",""
"sec 34621","","","","",""
"sec 63450","","","","",""
"sec 59387","","","","",""
"sec 55192","","","","",""
"sec 51129","","","","",""
"sec 13910","","","","",""
"sec 9847","","","","",""
"sec 42848","","","","",""
"sec 46913","","","","",""
"sec 34594","","","","",""
"sec 38659","","","","",""
"sec 59364","","","","",""
"sec 63429","","","","",""
"sec 51110","","","","",""
"sec 55175","","","","",""
"sec 9832","","","","",""
"sec 13897","","","","",""
"sec 37969","","","","",""
"sec 33904","","","","",""
"sec 46099","","","","",""
"sec 42034","","","","",""
"sec 54485","","","","",""
"sec 50420","","","","",""
"sec 62615","","","","",""
"sec 58550","","","","",""
"sec 5465","","","","",""
"sec 1400","","","","",""
"sec 3535","","","","",""
"sec 7662","","","","",""
"sec 11661","","","","",""
"sec 15788","","","","",""
"sec 19787","","","","",""
"sec 23914","","","","",""
"sec 27913","","","","",""
"sec 32040","","","","",""
"sec 36039","","","","",""
"sec 40166","","","","",""
"sec 16126","","","","",""
"sec 11999","","","","",""
"sec 7868","","","","",""
"sec 3741","","","","",""
"sec 32378","","","","",""
"sec 28251","","","","",""
"sec 24120","Branch Administrator (BA)","","","",""
"sec 19993","","","","",""
"sec 49142","","","","",""
"sec 45015","","","","",""
"sec 27565","","","","",""
"sec 31628","","","","",""
"sec 19439","","","","",""
"sec 23502","","","","",""
"sec 11049","","","","",""
"sec 15112","","","","",""
"sec 2923","","","","",""
"sec 6986","","","","",""
"sec 60069","","","","",""
"sec 64132","","","","",""
"sec 22684","","","","",""
"sec 18621","","","","",""
"sec 30942","","","","",""
"sec 26879","","","","",""
"sec 6168","","","","",""
"sec 2105","","","","",""
"sec 14426","","","","",""
"sec 10363","","","","",""
"sec 55700","","","","",""
"sec 51637","","","","",""
"sec 49419","","","","",""
"sec 53546","","","","",""
"sec 57673","","","","",""
"sec 61800","","","","",""
"sec 33167","","","","",""
"sec 37294","","","","",""
"sec 41421","","","","",""
"sec 45548","","","","",""
"sec 16387","","","","",""
"sec 20514","","","","",""
"sec 62010","","","","",""
"sec 57883","","","","",""
"sec 53880","","","","",""
"sec 49753","","","","",""
"sec 45758","","","","",""
"sec 41631","","","","",""
"sec 37628","","","","",""
"sec 33501","","","","",""
"sec 29490","","","","",""
"sec 25363","","","","",""
"sec 42857","","","","",""
"sec 46920","","","","",""
"sec 34603","","","","",""
"sec 38666","","","","",""
"sec 59373","","","","",""
"sec 63436","","","","",""
"sec 51119","","","","",""
"sec 55182","","","","",""
"sec 9825","","","","",""
"sec 13888","","","","",""
"sec 37976","","","","",""
"sec 33913","","","","",""
"sec 46106","","","","",""
"sec 42043","","","","",""
"sec 54492","","","","",""
"sec 50429","","","","",""
"sec 62622","","","","",""
"sec 58559","","","","",""
"sec 5456","","","","",""
"sec 1393","","","","",""
"sec 33894","","","","",""
"sec 37959","","","","",""
"sec 42020","","","","",""
"sec 46085","","","","",""
"sec 50402","","","","",""
"sec 54467","","","","",""
"sec 58528","","","","",""
"sec 62593","","","","",""
"sec 1390","","","","",""
"sec 5455","","","","",""
"sec 46935","","","","",""
"sec 42870","","","","",""
"sec 38677","","","","",""
"sec 34612","","","","",""
"sec 63443","","","","",""
"sec 59378","","","","",""
"sec 55185","","","","",""
"sec 51120","","","","",""
"sec 13919","","","","",""
"sec 9854","","","","",""
"sec 21663","","","","",""
"vendors","Vendors","","","",""
"user availability","User Availability","","","",""
"add user log entry","Add User Log Entry","","","",""
"secondary","Secondary","","","",""
"users schedule","User's Schedule","","","",""
"general notes","General Notes","","","",""
"surplus account balances","Surplus Account Balances","","","",""
"sandbox","Sandbox","","","",""
"sandbox not created yet","Your database does not have a sandbox to play in yet. Please create one to proceed.","","","",""
"create sandbox","Create Sandbox","","","",""
"use sandbox","Play in Sandbox","","","",""
"sandbox desc","The sandbox is a copy of your <APPNAME> data and a place where you can play with settings, scenarios, etc. without affecting your actual <APPNAME> data.\n\nThe sandbox can be 'refreshed' (wiped out & updated with your most current data) at anytime.\n\nNOTE: The sandbox is shared by everyone in the company","","","",""
"refresh sandbox desc","This will refresh / recreate the sandbox (sandbox will wiped & updated with your most current data).","","","",""
"delete sandbox desc","This will delete the sandbox and all data in it will be lost.","","","",""
"switch to sandbox","This will switch you to the sandbox and all jobs, quotes, invoices, etc. that you create may be deleted at any time.","","","",""
"using sandbox disclaimer","Sandbox Enviornment. Data may get wiped at any time.","","","",""
"exit sandbox","Exit Sandbox","","","",""
"exit sandbox disclaimer","Thanks for playing in the sandbox!\n\nWe hope it was beneficial and you are now ready to tackle whatever awaits you. Come back soon :)","","","",""
"cust is inactive","Customer: <CUST> is inactive!\n\nYou can create a Quote or Job for this customer, but you cannot create a Work Order (cannot actually send anyone out to do work) while the account is inactive.","","","",""
"rate of pay groups","Rate Of Pay Groups","","","",""
"defined groups","Defined Groups","","","",""
"bills","Bills","","","",""
"bill","Bill","","","",""
"find bills","Find Bills","","","",""
"contracts only","Contracts Only","","","",""
"enter bills","Enter Bills","","","",""
"service only","Service Only","","","",""
"enter bill","Enter Bill","","","",""
"ocip/ccip only","OCIP/CCIP Only","","","",""
"bill date","Bill Date","","","",""
"non ocip/ccip only","Non-OCIP/CCIP Only","","","",""
"bill due","Bill Due","","","",""
"flagged jobs only","Flagged Jobs Only","","","",""
"must enter bill ref no","You must enter a bill reference number.","","","",""
"non flagged jobs only","Non-Flagged Jobs Only","","","",""
"must enter bill amount","You must enter the bill amount.","","","",""
"cert only","Cert. Only","","","",""
"must specify bill date","You must enter the bill date.","","","",""
"non cert only","Non-Cert Only","","","",""
"must select a vendor","You must select a vendor.","","","",""
"itemized amounts must equal the total","Itemized amounts must equal the total amount (i.e. all lines must be itemized if you choose to itemize)","","","",""
"mark as paid","Mark As Paid","","","",""
"paid from","Paid From","","","",""
"pay from","Pay From","","","",""
"bill amt","Bill Amt","","","",""
"outstanding bills","Outstanding Bills","","","",""
"sales contact","Sales Contact","","","",""
"surplus history","Surplus History","","","",""
"work schedule","Work Schedule","","","",""
"surplus disrepancy report","Surplus Disrepancy Report","","","",""
"start","Start","","","",""
"surplus","Surplus","","","",""
"confirm del time block","Are you sure you want to delete the highlighted time block?","","","",""
"print surplus balance report","Print Surplus Balance Report","","","",""
"create user schedule","Create User Schedule","","","",""
"find surplus","Find Surplus","","","",""
"how do you want to write the schedule","How do you want to write the schedule?","","","",""
"deposits only","Deposits Only","","","",""
"must enter start date","Must enter start date","","","",""
"withdrawals only","Withdrawals Only","","","",""
"must enter end date","Must enter end date","","","",""
"refunds only","Refunds Only","","","",""
"start date must be after","Start date must be after","","","",""
"view surplus","View Surplus","","","",""
"end date must be before","End date must be before","","","",""
"surplus discrepancy report","Surplus Discrepancy Report","","","",""
"must enter start time","Must enter start time","","","",""
"sur discrep info","This will display a list of surplus transactions that were dated in the date range, but were created before or after the date range (ie back dated, etc.).","","","",""
"must enter end time","Must enter end time","","","",""
"start time must be before end time","Start time must be before end time","","","",""
"must select a status","You must select a status","","","",""
"overwrite","Overwrite","","","",""
"append","Append","","","",""
"start date","Start Date","","","",""
"end date","End Date","","","",""
"are you still there","Are you still there?\nYou will be signed out at <TIME> if you do not respond.\n\n<span style="color:red">** Any unsaved changes will be lost **</span>\n\n<img style="margin-top:10px; max-height:200px;" src="../img/stillThere.png" />","","","",""
"im still here","I'm still here","","","",""
"tax rate names","Tax Rate Names","","","",""
"auto sign out","Auto Sign Out","","","",""
"sign out after","Sign Out After","","","",""
"set at corp office only","Set at Corp. Office Only","","","",""
"does not apply to mobile app","Does not apply to mobile app","","","",""
