lbl,dflt,la
"confirm start on future wo","Esta OT no está programada para hoy. ¿Está seguro de que quiere empezar a trabajar en ella?",""
"clover sign up","Inscripción a Clover Connect",""
"i have read the instructions","He leído las instrucciones",""
"review instructions","Revisar instrucciones",""
"complete application ach","Solicitud completa\nCon ACH",""
"complete application no ach","Solicitud completa\nSin ACH",""
"must check before proceed","Debe marcar "<CHECKLBL>" antes de poder continuar.",""
"name on card","Nombre en la tarjeta",""
"time allocated","Tiempo asignado",""
"un-allocated","Sin asignar",""
"tasks performed","Tareas realizadas",""
"cod price","Precio CR",""
"signing you agree to terms and conditions","Al firmar a continuación acepta los <span class='text-hyperlinkblue pointer'>Términos y condiciones</span>.",""
"not setup for cc payments please click link","Su empresa no está configurada para procesar pagos con tarjeta de crédito en <APPNAME>. Haga clic en el icono de ayuda para obtener instrucciones sobre cómo configurar los pagos con TDC en <APPNAME>.",""
"sign in you agree to terms of use","Al iniciar sesión y utilizar <APPNAME>, acepta las <span class='text-hyperlinkblue pointer'>Condiciones de uso</span>.",""
"populate data on load","Rellenar datos al cargar",""
"pay all","Pagar todo",""
"powered by","Desarrollado por",""
"accounting","Contabilidad",""
"ap","C/P",""
"send text message to site contact for wo","Enviar mensaje de texto al contacto del sitio para la OT: <ID>",""
"non serv.","Sin Serv.",""
"last paid","Último pago",""
"first ft","Primera BC",""
"last ft","Última BC",""
"push disabled send text msg instead","<NAME> no está configurado para aceptar notificaciones push. ¿Desea enviar un mensaje de texto en su lugar?",""
"ft qty","Cant. de BC",""
"brave browser allow push notification","Para poder utilizar el servicio de notificaciones push de <APPNAME> en el navegador Brave, debe activar la opción "Usar los servicios de Google para la mensajería push" en Ajustes > Privacidad y seguridad.\n\nCopie el enlace <b>brave://settings/privacy</b> y péguelo en una nueva pestaña para abrir esta configuración.",""
"resp party","Partido Resp",""
"no serial number for part","No se han encontrado números de serie para seleccionar esta pieza",""
"sent to cust","Enviado a cliente",""
"contact cell","Contacto <LBLCELL>",""
"inv count","Recuento de fact.",""
"less adj","Menos Adj.",""
"net inv tot","Fact. neta total",""
"less surplus","Menos excedente",""
"total due","Total por pagar",""
"not sent","No enviado",""
"pushed","Enviada",""
"not pushed","No enviada",""
"acct pushed","Cuenta push",""
"wo started","OT Empezada",""
"wo arrived","Llegada de la OT",""
"wo departed","Salida de la OT",""
"wo completed","OT completada",""
"has ft","Tiene boleta de campo",""
"tc approved","Aprobado por el ET",""
"job status","Situación laboral",""
"chart of accounts gl codes","Plan de cuentas (códigos GL)",""
"gl codes","Ccódigos GL)",""
"filter type","Filtrar <TYPE>",""
"asset","Activo",""
"liability","Responsabilidad",""
"equity","Capital",""
"account","Cuenta",""
"gl code state instruct","El Número de Cuenta / Código GL introducido en la sección 'Número' / 'Código GL' se utiliza siempre que no haya un estado desglosado especificado. Si se detalla un Código GL por estado, ese Código GL anula el Código GL introducido en la sección 'Información de Código GL' para los trabajos con ese estado.",""
"account gl code","Cuenta (Código GL)",""
"account info","Información de la cuenta",""
"number","Número",""
"this is the tax gl","Este es el GL fiscal",""
"itemize by state optional","Detallar por <STATE> (Opcional)",""
"itemize by state","Detallar por <STATE>",""
"assets","Activos",""
"liabilities","Pasivo",""
"save account under","Guardar cuenta en",""
"balance sheet","Hoja de balance",""
"confirm delete generic","¿Está seguro de que desea eliminar este registro?",""
"job is certified","El trabajo está certificado",""
"pmt id","ID de pago",""
"check eft payment status","Comprobar el estado del pago BCE",""
"check eft payment overview","Esto comprobará los pagos de BCE abiertos para ver si el estado ha cambiado y actualizará el pago en consecuencia.\n\n Si se rechaza un pago BCE, se creará automáticamente una anulación NSF y se enviará una alerta a quien haya creado el pago y/o la factura.",""
"not authorized to enter payments","Su configuración de seguridad no permite introducir pagos/ajustes.",""
"check open efts","Comprobar BCE abiertas",""
"check","Comprobar",""
"print deposit report","Imprimir informe de depósito",""
"account type","Tipo de cuenta",""
"revenue","Ingresos",""
"expenses","",""
"enter expenses","",""
"enter expense","",""
"expense","",""
"expense 2","Gastos",""
"bank","Banco",""
"must specify account save under","Debe especificar bajo qué cuenta desea guardar esta cuenta.",""
"this is a required account","Esta cuenta es obligatoria",""
"deposit instructions","Esto imprimirá un informe de conciliación de depósito. El uso de este informe le ayudará a garantizar la exactitud del depósito.",""
"account types available with app accounting","El cambio de tipos de cuenta sólo está disponible con <ACCOUNTINGMOD>.",""
"deposit reconciliation report","Informe de conciliación de depósitos",""
"report fields","Campos del informe",""
"aba","ABA",""
"specify options","Especifique las opciones",""
"create/print standard batch","Crear/Imprimir lote estándar",""
"create/print credit batch","Crear/Imprimir lote de créditos",""
"create/print other batch","Crear/Imprimir otro lote",""
"create/print eft batch","Crear/Imprimir lote de BCE",""
"create/print adjustment batch","Crear/Imprimir lote de ajustes",""
"reprint batch","Reimprimir lote",""
"find deposit batch","Buscar lote de depósito",""
"standard cash check","Estándar (efectivo/cheque)",""
"credit card","Tarjeta de crédito",""
"deposits","Depósitos",""
"eft","BCE",""
"confirm delete deposit","¿Está seguro de que desea eliminar el depósito: <ID>?'\n\nEsto no se puede deshacer. Sólo proceda si desea eliminar permanentemente este depósito.",""
"certified minimum rate","Tasa mínima certificada",""
"cert paid more note","NOTA: Puede que le paguen más si su tarifa habitual es más alta",""
"batch id","Id. de lote",""
"can not preview reprinted batch","No puede previsualizar un lote reimpreso. Pulse "Aceptar" para reimprimir un lote.",""
"printing...","Imprimiendo...",""
"must select batch to reprint","Primero debe seleccionar un lote para reimprimir.",""
"creating deposit data please wait","Creación de datos de depósito.\nPor favor espere…",""
"adjustments report","Informe de ajustes",""
"adjustments entered","Ajustes introducidos",""
"adj to invoices created","Aj. a facturas creadas",""
"adj description","Descripción aj.",""
"adj gl code","Código GL aj.",""
"itemized tasks","Tareas desglosadas",""
"itemized gl code","Código GL desglosado",""
"date range of","Rango de fechas de",""
"report type","Tipo de informe",""
"include tax in amount","Incluir impuestos en el importe",""
"print notes","Imprimir notas",""
"group by","Agrupar Por",""
"detailed","Detallado",""
"inv qty","Cant. Inv",""
"task qty","Cant. De tareas",""
"gl qty","Cant. De GL",""
"no records found to print","No se han encontrado registros para imprimir.",""
"search all tabs","Buscar todas las pestañas",""
"surplus refunds report","Informe sobre devoluciones de excedentes",""
"print surplus refund report","Imprimir informe de reembolso de excedentes",""
"print surplus info","Esto imprimirá una lista de los Reembolsos por Excedente para los parámetros seleccionados.",""
"cust id","ID de cliente",""
"payments by rep report","Pagos por informe Rep.",""
"ar rep","Rep A/R",""
"date rcvd","Fecha de recepción",""
"amt applied to invoice","Importe aplicado a la factura",""
"deposit batch id","Id. de lote de depósito",""
"payment id","ID de pago",""
"surplus id","ID Excedente",""
"statements","Declaraciones",""
"print statements","Imprimir declaraciones",""
"cust flagged for statements","Cliente marcado para declaraciones",""
"cust not flagged for statements","Cliente NO marcado para declaraciones",""
"per customer","Por cliente",""
"per job","Por trabajo",""
"per customer/job","Por cliente/trabajo",""
"non retention only","Sólo no retención",""
"retention only","Sólo retención",""
"one per cust","Uno por cliente",""
"one per cust per branch","Uno por cliente y sucursal",""
"report linked jobs together","Informar trabajos vínculados juntos",""
"include surplus balance on output","Incluir el saldo excedente en la producción",""
"inv total","Inv. Total",""
"printed statement notes","Notas de declaración impresas",""
"unions","Sindicatos",""
"oldest inv threshold","Umbral de fact. más antigua",""
"manage unions","Gestionar sindicatos",""
"surplus balance","Saldo excedente",""
"defined unions","Sindicatos definidos",""
"recieves statements contacts","Recibe los contactos de las declaraciones",""
"recives statement contacts and cc all job billing contacts","Recibe los contactos de las declaraciones y CC todos los contactos de facturación del trabajo",""
"union","Sindicato",""
"no active terms found message","No tiene términos activos. Por favor, cree o reactive al menos 1 término de cliente.",""
"cenpoint product","Producto CenPoint",""
"auth success redirecting","Autentificado con éxito. Volviendo a lo que estaba haciendo...",""
"modify email pdf template","Modificar correo electrónico - Plantilla PDF",""
"modify email link template","Modificar correo electrónico - Plantilla de enlace",""
"email template","Plantilla de correo electrónico",""
"statement email template instructions","Establezca su asunto y cuerpo predeterminados para el envío masivo de extractos. Sus firmas de correo electrónico se añadirán automáticamente.",""
"chars",".cars",""
"emailing statements...","Envío de declaraciones por correo electrónico...",""
"text cannot be more than chars long","<NAME> no puede tener más de <MAX> caracteres",""
"job tasks","Tareas laborales",""
"auth with type","Autenticarse con\n<TYPE>",""
"invoiced date","Fecha de facturación",""
"print list","Imprimir lista",""
"export to excel","Exportar a Excel",""
"standard","Estándar",""
"enhanced","Mejorado",""
"","",""
"no other job tasks","Ninguna otra tarea",""
"other job tasks","Otras tareas laborales",""
"ft task error no tasksid","Falta información necesaria en los datos de la tarea (falta tasksid). Tarea NO guardada.\n\nPor favor, inténtelo de nuevo. Si el problema persiste, póngase en contacto con el servicio de asistencia en: <SUPPORTNO>",""
"service worker not found cant check for updt","Trabajador de servicio no encontrado. No se puede comprobar si hay una actualización. Póngase en contacto con el servicio de asistencia si este problema persiste.",""
"quote equip","Cotizar Equip.",""
"import gl codes from","Importar códigos GL de <SOFTWARE>",""
"qbonline get gl codes instruct","Esto sacará una lista de códigos gl de Quickbooks Online y le permitirá especificar qué códigos gl importar a <APPNAME>.\n\nNOTA: Los códigos GL NO son específicos de una sucursal y se importarán globalmente.\n\nSeleccione la rama inferior(<LBLBRANCH>) a utilizar para autenticarse con Quickbooks Online y luego haga clic en 'Siguiente' para continuar.",""
"delete all app gl and replace them","Borre TODOS los Códigos GL de <APPNAME> y sustitúyalos por Códigos Gl de <ACCTSYS>\nNOTA: Los Códigos GL sólo pueden borrarse si nunca se han utilizado.",""
"keep existing app gl and add from","Mantenga Código LM <APPNAME> Código LM, sólo añada Código LM de <ACCTSYS>.",""
"select gl to import","Seleccione los códigos GL a importar",""
"invoice info","Información sobre la factura",""
"invoice flag as sent to cust prompt","¿Desea marcar estas facturas como enviadas al cliente?",""
"acct push id","ID de Push de cuenta",""
"debug info","Información de depuración",""
"print balance on invoice","Imprimir saldo en factura",""
"flag as sent","Marcar como enviado",""
"print expected retention on invoice","Imprimir la retención prevista en la factura",""
"are you sure delete all app gl codes","¿Está seguro de que desea borrar TODOS los códigos gl de <APPNAME> y volver a colocarlos con los códigos gl seleccionados?",""
"balance is retention","Equilibrio es retención",""
"do not flag as sent","No, NO marcar como enviado",""
"ret date","Fecha de ret.",""
"purging existing gl codes","Purgar códigos GL existentes\nPor favor espere…",""
"job ret","Trabajo Ret.",""
"couldnt delete gls in use","Los siguientes códigos GL NO se han eliminado ya que se han utilizado en una tarea, pieza de equipo, cargo adicional de factura, etc.\n<GLS>",""
"loading data please wait...","Cargando datos. Por favor, espere...",""
"importing please wait","Importando, por favor espere","Importando, espere"
"imported x type","Importado con éxito <CNT> <TYPE>",""
"support info","Información de apoyo",""
"sent to collections","Enviados a cobro",""
"do branches share bank accounts","¿Sus sucursales comparten la misma cuenta bancaria o utilizan cuentas bancarias separadas?",""
"job category","Categoría de empleo",""
"share bank accounts","Cuentas bancarias compartidas",""
"add tax","Añadir impuesto",""
"seperate bank accounts","Cuentas bancarias separadas",""
"remove tax","Eliminar impuestos",""
"suggested volumes round","Volúmenes sugeridos (redondee según desee)",""
"overrides job","Anula el trabajo",""
"print ret inv","Imprimir fact. Ret.",""
"on","En",""
"(nsi only)","(Sólo FSS)",""
"edit line item notes","Editar notas de partidas",""
"nsi po no","N.º P.O. de FSS",""
"nsi req no","N.º FSS Req.",""
"link text sent at","Texto del enlace enviado a",""
"link first open","Primer enlace abierto",""
"link last open","Último enlace abierto",""
"link open count","Recuento de enlaces abiertos",""
"nsi will be inherited from job","N.º de FSS PO/Req. se heredará del trabajo si está vinculado a un trabajo",""
"see job","Ver trabajo",""
"cannot select this report type job is not quoted","No se puede seleccionar este tipo de informe.\n\nRazón: El trabajo no se ha cotizado",""
"cannot select this report type amounts do not match","No se puede seleccionar este tipo de informe\n\n Razón: El importe total del presupuesto no coincide con el total de la factura",""
"deleted invoices report","Informe de facturas borradas",""
"deleted by","Borrada por",""
"del date","Fecha de borr.",""
"del time","Hora de borr.",""
"invs created before date range","Facs Creadas Antes Rango de fe.",""
"del by","Borr. Por",""
"file not found generic","¡Archivo no encontrado!",""
"nsi po only valid for nsi invoices","FSS Po/Req. sólo son válidos para las facturas FSS no vinculadas a un trabajo",""
"invoice does not contain tax","La factura no contiene ningún impuesto.",""
"invoice already contains tax","La factura ya contiene impuestos.",""
"collection tip","Cuando se envía una factura a cobros, debe especificar qué empresa se encargará de los cobros. Seleccione una empresa de cobros en la siguiente pantalla.\n\nNOTA: El buscador de empresas de cobros se abrirá automáticamente para mayor eficacia y comodidad.",""
"add fee tip","Esto añadirá una tasa a esta factura, como una tasa de tramitación o una tasa de conveniencia. Esto se convertirá en una partida en la factura. Esto sólo puede deshacerse contabilizando un ajuste.",""
"confirm del tax","¿Está seguro de que desea eliminar los impuestos de la factura: <INVOICEID>?\n\nSólo proceda si desea eliminar permanentemente todos los impuestos de esta factura.\n\nNOTA: ¡Esto no se puede deshacer!",""
"invoice already pushed into accounting software","Factura: <INVOICEID> ha sido introducida en su programa de contabilidad.\n\nEsto requerirá cambios manuales en su sistema contable. Proceda únicamente si está seguro de saber cómo corregir manualmente su sistema contable,",""
"validate data push","Validar empuje de datos",""
"must specify a specific accounting system to validate","Debe especificar un sistema contable concreto para validar.",""
"validate only","Sólo validar",""
"validate and correct in cenpoint","Validar y corregir en CenPoint",""
"correct push confirmation","¡Corregir un push no se puede deshacer!\n\nProceda sólo si desea corregir permanentemente todos los registros DataPush incorrectos para este intervalo de fechas.",""
"corrected amounts in acct system confirmation","¿Ha corregido ya los importes en su sistema contable?\n\nDebe hacerlo antes de continuar.",""
"del add tax data push message","¡IMPORTANTE!\n\nDebe realizar manualmente los siguientes ajustes en su sistema contable para el envío de datos: <PUSHID>\n\nImporte imponible disminuido en: <INVTOTAMT>\nImporte no imponible aumentado en: <INVAMTB4TAX>\n\nLos cambios en el registro CenPoint push <PUSHID> se han ajustado automáticamente para reflejar el nuevo importe.",""
"confirm add tax","¿Está seguro de que desea añadir impuestos a la factura: <INVOICEID>?\n\nProceda sólo si desea añadir impuestos a todas las partidas de tareas de esta factura.\n\nNOTA: ¡Esto no se puede deshacer!",""
"proceed","Proceder",""
"please enter tax percentage","Por favor, introduzca el porcentaje de impuestos",""
"must enter tax percentage to continue","Debe introducir el porcentaje de impuestos para continuar.",""
"tax percentage","Porcentaje de impuestos",""
"must print this report","Debe imprimir este informe, ¡no podrá hacerlo más tarde!",""
"confirm balance as retention","Esto marcará el saldo como retención.",""
"mark as retention","Marcar como Retención",""
"confirm balance as non-retention","Esto desmarcará el saldo como retención. El saldo dejará de considerarse retención.",""
"unmark as retention","Desmarcar como Retención",""
"invoice is not flagged as retention","La factura no está marcada como retención o no hay un % de retención en el trabajo.",""
"invoice does not have a balance","La factura no tiene saldo.",""
"this invoice is not sent to collections","Esta factura no se envía a cobros.",""
"select collection company","Seleccionar empresa de cobros",""
"view collection company","Ver empresa de cobros",""
"retention invoice","Factura de retención",""
"prompt for blacklist when sent to collections","Enviar a alguien a cobranza es una acción bastante seria y lo más probable es que signifique que no volverá a trabajar con esa persona.\n\nPara ayudar a protegerle a usted y a los demás, ¿le gustaría también incluir a este cliente en una lista negra global y local?",""
"aging history by customer","Historia de antigüedad por cliente",""
"only show cust with a balance","Mostrar solo clien con saldo",""
"all in collections","Todo en cobranzas",""
"all not in collections","Todo en no cobrado",""
"days only","días únicamente",""
"branch tot","Tot de sucursal",""
"cust tot","Clien. tot",""
"cust %","% Clien.",""
"last note","Última nota",""
"add note","Añadir nota","Agregar nota"
"view notes","Ver notas",""
"print statement","Imprimir informe",""
"customer statistics","Estadísticas de clientes",""
"must select customer","Debe seleccionar el cliente",""
"customer is flagged to not print statement","Cliente si está marcado para no imprimir informe",""
"my documents","Mis documentos",""
"can not edit because document is uploaded by someone else","No puede editar este documento porque lo ha subido otra persona",""
"retained earnings","Ganancias retenidas",""
"long term","A largo plazo",""
"using cp books type must have gl","Debido a que está utilizando <ACCOUNTINGMOD>, <TYPE> debe estar asociado a un código GL.",""
"active jobs only","Solo trabajos activos",""
"also create user log","Crear también un registro de usuario",""
"user log","Registro de usuario",""
"log","Registro",""
"general log entry","Entrada de registro general (todos los usuarios)",""
"only for user","Solo para usuarios",""
"log info","Información de registro",""
"you must enter a note","Debe introducir una nota.","Debe ingresar una nota."
"first invoice","Primera factura",""
"last invoice","Última factura",""
"invoice count","Recuento de facturas",""
"largest inv","Fac mayor",""
"total invoices","Total facturas",""
"avg days to pay","Prom. días para pagar",""
"max days to pay","Días máximos para pagar",""
"historical data not included in calculations","Datos históricos no incluidos en los cálculos",""
"customer since","Cliente desde",""
"life to date","Vida hasta la fecha",""
"year to date","Año hasta la fecha",""
"last 90 days","Últimos 90 días",""
"customer statistics","Estadísticas de clientes",""
"simulating user in tab","Simulando usuario: <NOMBRE> en otra pestaña. Por favor, cierre esa pestaña antes de continuar.","Simulando usuario: <NOMBRE> en otra pestaña. Cierre esa pestaña antes de continuar."
"simulating","Simulando",""
"print aging report","Imprimir informe de antigüedad",""
"must select a job","Debe seleccionar un trabajo",""
"grid view","Vista en cuadrícula",""
"manage card","Gestionar tarjeta",""
"accountant view","Vista contable",""
"how to enter new card","Cómo introducir una\ntarjeta nueva","Cómo ingresar una\ntarjeta nueva"
"groups","Grupos",""
"license expired card updated will charge soon","Gracias por actualizar su tarjeta en el archivo.\nCargaremos su tarjeta y actualizaremos su licencia lo antes posible. Recibirá un correo electrónico una vez actualizada su licencia.",""
"min days out","Días min. de salida",""
"journal entries","Entradas en el diario",""
"journal entry","Entrada en el diario",""
"print last note on dtl rpt","Imprimir última nota en informe detallado",""
"print job name on dtl rpt","Imprimir nombre de trabajo en informe detallado",""
"customer id","Id de cliente",""
"exporting...","Exportando…",""
"journal id","Id de diario",""
"desktop only available on windows","La apertura de la aplicación de escritorio solo está disponible en Windows.",""
"desktop app not installed","Parece que aún no ha instalado <APPNAME>. Por favor, instálela y vuelva a intentarlo.","Parece que aún no ha instalado <APPNAME>. Instálela y vuelva a intentarlo."
"log returned (nsf) payment","Registrar pago devuelto (NSF)",""
"enter returned payment (nsf)","Introducir pago devuelto (NSF)","Ingresar pago devuelto (NSF)"
"show payments since","Mostrar pagos desde",""
"date returned","Fecha de devolución",""
"non-returned checks and cc","Cheques no devueltos y CC",""
"add nsf charge","Añadir cargo NSF",""
"create nsf charge as an nsi","Crear cargo NSF como NSI",""
"print invoice with nsf charge","Imprimir factura con cargo NSF",""
"must select a payment to return","Debe seleccionar un pago a devolver",""
"return date is in the future","La fecha de devolución corresponde al futuro. ¿Esto es realmente correcto?",""
"invoices not in ft date","Facturas sin fecha de EC",""
"debit","Débito",""
"ftick inv dt instructions","Esto mostrará todas las Boletas de Campo para el intervalo de fechas seleccionado que NO fueron facturadas durante dicho intervalo. Los elementos se incluyen en función de la fecha de la Boleta de Campo. Las Boletas de Campo no facturadas NO se incluirán.",""
"credit","Crédito",""
"ftick id","Id ECam",""
"debits credits must equal","Las columnas de Debe y Haber deben sumar el mismo importe",""
"ftick dt","Dt ECam",""
"journal details dont match journal total update","El importe total del asiento no coincide con los cargos/abonos.\n\nAsiento: <JOURNALAMT>\nDebe/Haber: <DEBITAMT>\n\n¿Desea actualizar el importe del Diario para que coincida con los cargos/abonos?",""
"inv created dt","Dt de fc creado",""
"details","Detalles",""
"debits","Débitos",""
"credits","Créditos",""
"total debits","Débitos totales",""
"total credits","Créditos totales",""
"gl code must have a debit or credit","Ha seleccionado un Código GL pero no se han introducido Débitos o Créditos para el mismo. Por favor, añada un débito/crédito o elimine la línea.","Ha seleccionado un Código GL pero no se han ingresado Débitos o Créditos para el mismo. Añada un débito/crédito o elimine la línea."
"journal must have entries","El asiento debe tener al menos 2 cuentas de código GL",""
"jouranl entry must have gl codes","Todas las líneas de asientos deben tener un código GL.",""
"journal amount out of balance with original transaction","Ha modificado el importe total del asiento y ya no coincide con la transacción original.\n\n <span class="font-bold text-red">La transacción original: <ORIG> NO se actualizará.</span>\n\n¿Está seguro de que desea proceder?","Ha modificado el importe total del asiento y ya no coincide con la transacción original.\n\n <span class="font-bold text-red">La transacción original: <ORIG> NO se actualizará.</span>\n\n¿Está seguro de que desea continuar?"
"general journal","Diario general",""
"adjustment intro","Los importes de ajuste, como cualquier otro pago, deben ser normalmente un número positivo.\n\nUn importe de ajuste positivo disminuirá el saldo de la factura.",""
"view failed journals","Ver Entradas de diario\nfallidas",""
"cash","Efectivo",""
"itemize adjustment","Desglosar Ajuste",""
"cc already charged","CC - Ya cobrado",""
"enter the adjustment amount for each task","Introduzca el importe de ajuste para cada tarea","Ingrese el importe de ajuste para cada tarea"
"cc or eft charge now","CC o EFT - Cargar ahora",""
"tax adj","Aj. de Impuesto","Aj. de impuesto"
"adjustment","Ajuste",""
"total adj","Aj. total",""
"from surplus account","de la cuenta de excedentes",""
"adj entire bal","Sal total de aj.",""
"surplus not enough balance","No hay suficiente saldo disponible en la cuenta de excedentes para realizar este tipo de pago.",""
"adj all tax","Todos los aj. de impuestos",""
"can not apply pmt from surplus to surplus","El tipo de pago no puede ser de la cuenta de excedentes si está aplicando un importe a dicha cuenta.",""
"orig tax","Impuesto orig.",""
"orig charge","Cargo orig.",""
"adj amt","Importe de aj.",""
"invoice adjustment not itemized","Su <LBLBRANCH> está configurado para desglosar los ajustes pero el ajuste no está desglosado",""
"payment receipt","Recibo de pago",""
"surplus account history","Historial de la cuenta de excedentes",""
"surplus withdrawl","Retiro de excedente",""
"cust sur bal","Bal. de ex. de clie. (Todas las sucursales)",""
"bank register","Registro bancario",""
"journal register","",""
"branch sur bal","Bal. de ex. de sucursal",""
"customer info","Información del cliente",""
"withdrawal","Retiro",""
"deposit","Depósito",""
"refund id","ID de reembolso",""
"reprint refund","Reimprimir reembolso",""
"only withdrawals and refund can be deleted","Solo pueden borrarse los retiros y los reembolsos. Los depósitos deben borrarse borrando el pago originario.",""
"refund has been pushed","El reembolso se ha trasladado al sistema contable y no puede borrarse.",""
"record is not refund","El registro resaltado no es un reembolso.",""
"tot surplus bal","Bal. tot. excedente",""
"create manual credit","Crear crédito manual",""
"create refund","Crear reembolso",""
"create manual surplus credit","Crear crédito manual por excedentes",""
"create man credit info","Esto le permite crear un crédito en la cuenta de excedentes para el cliente. Un importe de crédito positivo aumentará el saldo de excedentes.",""
"orig surplus bal","Bal ex orig.",""
"credit amount","Importe del crédito",""
"new surplus bal","Nuevo bal excedente",""
"you must specify a date","Debe especificar una fecha",""
"you must specify amount","Debe especificar la cantidad",""
"amount must be greater than 0","El importe debe ser superior a 0","El importe debe ser superior a 1"
"date can not be in the future","La fecha no puede ser en el futuro",""
"you have not entered notes enter now","No ha introducido ninguna nota. ¿Desea introducir notas ahora?","No ha ingresado ninguna nota. ¿Desea ingresar notas ahora?"
"you must specify reason","Debe especificar el motivo",""
"surplus refund","Reembolso de excedentes",""
"surplus refund info","Esto le permite devolver el dinero al cliente. Un importe de reembolso positivo disminuirá el saldo excedente.",""
"refund amount","Importe del reembolso",""
"print refund","Imprimir reembolso",""
"use default","Utilizar por defecto",""
"specify","Especifique",""
"not using cp books, bank accounts not supported","Debido a que no está utilizando <ACCOUNTINGMOD>, las cuentas bancarias no son compatibles.",""
"refund cannot take surplus negative","El reembolso no puede hacer que el saldo de la cuenta de excedentes sea negativo.",""
"no check ref no, enter now","No ha introducido el número de referencia del cheque. Este debe ser el número del cheque de reembolso. ¿Desea introducirlo ahora?","No ha ingresado el número de referencia del cheque. Este debe ser el número del cheque de reembolso. ¿Desea ingresarlo ahora?"
"enter now","Introducir ahora","Ingresar ahora"
"specify bank account or select default","Especifique la cuenta bancaria para este reembolso o seleccione "Por defecto".",""
"no banks defined please setup","Aun no ha definido ninguna cuenta bancaria. Por favor, cree una cuenta bancaria en Gestión de listas -> Plan de cuentas.","Aun no ha definido ninguna cuenta bancaria. Cree una cuenta bancaria en Gestión de listas -> Plan de cuentas."
"payee","Beneficiario",""
"vend","Vend",""
"deposit","Depósito",""
"withdrawal","Retiro",""
"job 4","Adición rápida SS",""
"ending balance","Saldo final",""
"prompt","Aviso",""
"must select a blank","Debe seleccionar un <DESC>.",""
"job entry mode","Modo de entrada del trabajo",""
"must select an blank","Debe seleccionar un <DESC>.",""
"job view mode","Modo de vista del trabajo",""
"must enter a blank","Debe introducir un <DESC>",""
"select job entry mode","Seleccione el modo de entrada de trabajos",""
"must enter an blank","Debe introducir un <DESC>",""
"set as default (do not ask again)","Establecer como predeterminado (No volver a preguntar)",""
"feature coming soon","Próximamente. Vuelva a comprobarlo más tarde.",""
"continue in","Continuar en",""
"itemized","Desglosado",""
"itemize","Detalle",""
"bank reg rec must have bank account","Un registro bancario debe hacer referencia a la cuenta bancaria. Acción abortada.",""
"not enough info to create wo","No se ha introducido suficiente información para crear una Orden de Trabajo. No se ha creado una Orden de Trabajo para este trabajo.","No se ha ingresado suficiente información para crear una Orden de Trabajo. No se ha creado una Orden de Trabajo para este trabajo."
"office security","Seguridad en la oficina",""
"sec 51074","Añadir/editar trabajos","Agregar/editar trabajos"
"sec 63457","Ver solo trabajo (solo lectura)",""
"sec 59328","Eliminar empleos",""
"sec 38695","Ver cliente (solo lectura)",""
"sec 34566","Gestionar/Ajustar todos los datos de entrada/salida del reloj",""
"sec 46949","Añadir/editar citas","Agregar/editar citas"
"sec 42820","Ver citas (solo lectura)",""
"sec 22187","Borrar citas",""
"sec 18058","Gestionar/ajustar los datos de las tarjetas horarias de EC",""
"sec 7672","Gestionar/Ajustar los datos de la nómina de EC *",""
"sec 3545","Ver/Editar info de Tarjeta de crédito de clien.",""
"sec 15802","Borrar órdenes de servicio",""
"sec 11675","Cambiar el límite de crédito / Congelar clientes (Ret de cta.)",""
"sec 23932","Marcar trabajos como revisados",""
"sec 19805","Borrar pagos",""
"sec 32062","Administrador del sistema (AS)",""
"sec 27935","Borrar entradas de campo",""
"sec 40176","Gestionar tareas",""
"sec 36049","Añadir clientes","Agregar clientes"
"sec 18603","Editar clientes",""
"sec 22666","Borrar clientes",""
"sec 26857","Encabezado EC listo para facturar",""
"sec 30920","Crear facturas",""
"sec 2095","Introducir pagos/ajustes","Ingresar pagos/ajustes"
"sec 6158","Crear reembolsos de cuen de excedentes",""
"sec 10349","Crear créditos excedentes manuales",""
"sec 14412","Editar/borrar notas de trabajo",""
"sec 51619","Opciones de envío de datos",""
"sec 55682","Gestión de listas",""
"sec 31642","Gestionar información sobre la empresa/sucursal",""
"sec 27579","Editar/Borrar notas de registro de usuario",""
"sec 23512","Retirar los SN de inventario fuera de los EC",""
"sec 19449","Menú de utilidades del servidor",""
"sec 15134","Acceso a datos sensibles (salarios, etc.)",""
"sec 11071","Puede editar las O.T. después de haberlas facturado",""
"sec 7004","Puede consumir partes internas",""
"sec 2941","Imprimir lista de facturas",""
"sec 64146","Permitir la impresión de la lista de clientes y contactos",""
"sec 60083","Este es un usuario especial solo para programadores",""
"sec 57869","Permitir la impresión de notas internas de EC",""
"sec 61996","Borrar facturas",""
"sec 49743","Ver solo EC (solo lectura)",""
"sec 53870","Cant. del aj. disponible (no seriada únicamente)",""
"sec 41609","Cambiar la calificación del cliente",""
"sec 45736","Establecer/cambiar rep de ventas",""
"sec 33483","Suprimir las inspecciones de veh y equipos",""
"sec 37610","Menú Utilidades de datos",""
"sec 25349","Borrar OT, Inspeccionar, A a Ps, Planes de Seguridad *",""
"sec 29476","El programador es de solo lectura",""
"sec 53564","Informe de conciliación *",""
"sec 49437","Ajustar/cambiar ROP",""
"sec 61822","Gestionar usuarios limitados (sin seguridad) *",""
"sec 57695","Borrar depósitos",""
"sec 37304","Denegar acceso A/R",""
"sec 33177","Denegar el acceso a la cotización",""
"sec 45562","Denegar el acceso al menú de informes",""
